7.26c,"[""Level 25 right talent: +80  Wukong's Command armor increased to +100."", 'Talents:']"
7.26b,"['Level 10 left talent: +20 attack speed reduced to +15.', 'Level 10 right talent: +400  Tree Dance vision range reduced to +325.', 'Level 15 left talent: +100  Jingu Mastery damage reduced to +80.', 'Level 15 right talent: +600  Tree Dance cast range reduced to +475.', 'Level 20 left talent: +400  Primal Spring max damage reduced to +320.', 'Level 20 right talent: +50%  Boundless Strike critical damage reduced to +40%.', ""Level 25 right talent: +100  Wukong's Command armor reduced to +80."", 'Talents:']"
7.23c,"['Level 15 left talent: +75  Jingu Mastery damage increased to +100.', 'Increased base armor from -3 to -2.', 'Talents:']"
7.23,"['Level 10 right talent: +300  Tree Dance vison range increased to +400.', 'Reduced  Tree Dance cooldown from 1.2 to 1.', 'Talents:']"
7.22,"[""Added  Aghanim's Scepter upgrade for Monkey King: Spawns a  Wukong's Command soldier near Monkey King every 3.5 seconds, lasting 12 seconds. Soldiers do not spawn during  Tree Dance,  Mischief, or invisibility. These soldiers can attack any unit, but require Monkey King to be within 500 radius to attack buildings.""]"
7.21c,['Changed  Mischief initial invulnerability into damage negation.']
7.21,"['Increased  agility gain from 3.2 to 3.7.', 'Increased movement speed from 300 to 305.', ""Reduced  Wukong's Command soldiers attack rate from 1.3 to 1.2.""]"
7.20d,['Reduced  Mischief invulnerability duration from 0.3 to 0.2.']
7.20,"['Reduced base health regeneration from 3 to 1.5.', 'Reduced base mana regeneration from 0.9 to 0.', "" Mischief\nNow always transforms into the courier when used while within 350 range of the team's courier.\nNow grants 0.3 seconds of invulnerability upon transforming.\nIncreased cooldown from 3 to 20."", ""Now always transforms into the courier when used while within 350 range of the team's courier."", 'Now grants 0.3 seconds of invulnerability upon transforming.', 'Increased cooldown from 3 to 20.']"
7.16,"[""Increased  Wukong's Command armor bonus from 8/14/20 to 12/18/24.""]"
7.15,['Increased base  strength from 18 to 19.']
7.14,['Reduced  Primal Spring mana cost from 130/120/110/100 to 100 on each level.']
7.12,"[""Reduced  Wukong's Command soldiers attack rate from 1.4 to 1.3.""]"
7.10,"['Level 10 right talent: +150  Tree Dance vision range increased to +300.', 'Level 15 right talent: +300  Tree Dance cast range increased to +600.', 'Level 20 left talent: +300  Primal Spring max damage increased to +400', 'Increased base attack damage from 27-33 to 29-35.', 'Talents:']"
7.07,"['Level 10: 12% evasion or +20 attack speed', 'Level 15: +75  Jingu Mastery damage or +275 health', 'Level 20: +20% magic resistance or +40 attack damage', 'Level 25: +100%  Boundless Strike critical damage or +25  strength', 'Reduced base attack damage from 30-36 to 27-33', 'Reduced movement speed from 305 to 300.', 'Increased base health regeneration from 1.5 to 3.', 'Increased base mana regeneration from 0.01 to 0.9.', ""Monkey King no longer destroys trees he is standing on during  Aghanim's Scepter  Stampede."", ' Jingu Mastery bonus damage rescaled from 75/100/125/150 to 60/90/120/150', 'Reworked talents:']"
7.06e,"['Reduced  Boundless Strike cooldown from 25 to 22.', ""Reduced  Wukong's Command soldiers attack rate from 1.6 to 1.4.""]"
7.06d,"['Level 10 left talent: 10% evasion increased to 12%.', 'Increased  Boundless Strike critical strike from 140%/160%/180%/200% to 150%/175%/200%/225%.', 'Increased  Primal Spring max damage from 100/180/260/340 to 140/210/280/350.', 'Talents:']"
7.06c,"['Level 10 left talent changed: +5 armor -> 10% evasion.', 'Increased base health regeneration from 0.75 to 1.5.', 'Reduced  Tree Dance cooldown from 1.4 to 1.2.', 'Talents:']"
7.06b,"[""Reduced  Wukong's Command soldiers attack rate from 1.7 to 1.6.""]"
7.06,"['Increased  strength gain from 2.5 to 2.8.', 'Fixed  Tree Dance causing the caster to sometimes have more vision than defined day/night values.', "" Wukong's Command\nNo longer provides 50/70/90 attack damage to Monkey King and the soldiers.\nNow provides 8/14/20 armor to Monkey King.\nSoldiers no longer copy  Skull Basher and  Abyssal Blade.\nFixed the soldiers  Urn of Shadows sometimes stealing an urn charge when a kill happens close to them.\nReduced soldiers attack rate from 2 to 1.7."", 'No longer provides 50/70/90 attack damage to Monkey King and the soldiers.', 'Now provides 8/14/20 armor to Monkey King.', 'Soldiers no longer copy  Skull Basher and  Abyssal Blade.', 'Fixed the soldiers  Urn of Shadows sometimes stealing an urn charge when a kill happens close to them.', 'Reduced soldiers attack rate from 2 to 1.7.']"
7.05,"['Increased  strength gain from 2.2 to 2.5.', 'Reduced  Boundless Strike stun duration from 0.5/1/1.5/2 to 0.4/0.8/1.2/1.6.', ' Primal Spring\nRescaled max movement speed slow from 30%/45%/60%/75% to 20%/40%/60%/80%.\nRescaled mana cost from 100/110/120/130 to 130/120/110/100.\nRescaled cooldown from 16 on each level to 19/17/15/13.', 'Rescaled max movement speed slow from 30%/45%/60%/75% to 20%/40%/60%/80%.', 'Rescaled mana cost from 100/110/120/130 to 130/120/110/100.', 'Rescaled cooldown from 16 on each level to 19/17/15/13.', ""Increased  Wukong's Command cooldown from 100/85/70 to 130/110/90.""]"
7.04,"['The channeling sound is now audible to the enemy and through the fog of war.', 'Rescaled max movement speed slow from 40%/50%/60%/70% to 30%/45%/60%/75%.', ' Primal Spring\nThe channeling sound is now audible to the enemy and through the fog of war.\nRescaled max movement speed slow from 40%/50%/60%/70% to 30%/45%/60%/75%.']"
7.03,"['Added to Captains Mode.', ' Jingu Mastery buff now has a max duration of 35 seconds. [?]', 'Reduced  Tree Dance vision range from 800/800 to 800/400.', ""Reduced  Wukong's Command duration from 13/14/15 to 13 on each level.""]"
