7.26c,"['Level 20 left talent: +40%  Illusory Orb distance/speed increased to +50%.', 'Talents:']"
7.26b,"['Level 10 right talent: +30 attack damage reduced to +25.', 'Level 10 left talent: +200 cast range reduced to +150.', 'Level 15 right talent: +15% spell amplification reduced to +12%.', 'Level 20 left talent: +50%  Illusory Orb distance/speed reduced to +40%.', 'Level 20 right talent: -9s  Waning Rift cooldown reduced to -7s.', 'Level 25 left talent: 0.7s  Dream Coil rapid fire interval increased to 0.85s.', 'Level 25 right talent: +425  Waning Rift radius/cast range reduced to +350.', 'Talents:']"
7.25,['Reduced base damage from 25-36 to 23-34.']
7.24b,['Reduced  Waning Rift cast range from 350 to 275.']
7.24,"['Level 25 right talent changed: +420 gold per minute -> +425  Waning Rift radius/cast range.', 'Reduced base attack damage from 28-39 to 25-36.', 'Talents:']"
7.23f,"['Level 10 right talent changed:  Phase Shift instant attacks [?] -> +30 attack damage.', 'Level 15 left talent changed: +90 attack damage ->  Phase Shift instant attacks [?].', 'Level 15 left talent: The  Phase Shift instant attacks no longer target  Zombies.', 'Reduced base attack damage from 30-41 to 28-39.', ' Waning Rift no longer teleports Puck when used while rooted or leashed. [?]', 'Talents:']"
7.23c,"['Reduced base armor from -1 to -3.', 'Reduced  Waning Rift damage from 100/160/220/280 to 70/140/210/280.', ""Increased  Aghanim's Scepter upgraded  Dream Coil stun duration from 1.5/3/4.5 to 1.8/3/4.5.""]"
7.23,"['Level 10 left talent: +150 cast range increased to +200.', 'Level 10 right talent changed: +6 all stats ->  Phase Shift instant attacks [?]', 'Fixed  Ethereal Jaunt sometimes not registering cast orders.', ' Waning Rift is now a ground-targeted ability with 350 cast range, first teleporting Puck there and then applying its effects. [?]', ' Dream Coil now deals 100/150/200 damage upon cast.', 'Talents:']"
7.22g,"['Level 20 left talent: +40%  Illusory Orb distance/speed increased to +50%.', 'Level 20 right talent: -8s  Waning Rift cooldown increased to -9s.', 'Increased  agility gain from 1.7 to 2.2.', ' Ethereal Jaunt can no longer be cast while rooted.', ' Phase Shift can now be cast while rooted.', 'Talents:']"
7.22c,"['Level 10 left talent: +125 cast range increased to +150.', 'Level 10 right talent: +5 all stats increased to +6.', 'Level 25 left talent: 0.6s  Dream Coil rapid fire interval increased to 0.7s.', ""Level 25 left talent:  Dream Coil rapid fire now requires Puck to be within 400 range of the coil's center to perform the attacks on all affected enemies, instead of affected enemies requiring to be within Puck's attack range."", 'Increased base health regeneration from 0 to 0.5.', 'Talents:']"
7.22,"['Increased  strength gain from 2.2 to 2.4.', 'Increased  intelligence gain from 3.1 to 3.5.']"
