7.26c,"['Level 25 left talent: -50s  Dark Ascension cooldown increased to -60s.', 'Talents:']"
7.26b,"['Level 10 left talent: +200 mana reduced to +150.', 'Level 10 right talent: +200 health reduced to +150.', 'Level 15 left talent: 25% lifesteal reduced to 20%', 'Level 15 right talent: +15  strength reduced to +12.', 'Level 20 left talent: +40 attack damage reduced to +35.', 'Level 20 right talent: +35 movement speed reduced to +30.', 'Level 25 left talent: -60s  Dark Ascension cooldown reduced to -50s.', 'Level 25 right talent: +100  Hunter in the Night attack speed reduced to +80.', 'Talents:']"
7.26a,['Reduced movement speed from 300 to 295.']
7.25a,"['Level 25 right talent: +110  Hunter in the Night attack speed reduced to +100.', 'Reduced  strength gain from 3.2 to 3.', 'Reduced  Void damage from 90/160/255/335 to 80/160/240/320.', 'Talents:']"
7.25,"['Level 15 left talent: 15% lifesteal increased to 25%.', 'Level 25 left talent: -40s  Dark Ascension cooldown increased to -60s.', 'Increased base  intelligence from 13 to 15.', 'Increased base health regeneration from 1.75 to 2.25.', 'Increased base movement speed from 295 to 300.', 'Talents:']"
7.23,"['Level 20 right talent: +40 movement speed reduced to +35.', 'No longer reduces cooldown by 2 seconds.', 'Reduced stun duration from 0.6 to 0.5.', "" Aghanim's Scepter upgraded  Void\nNo longer reduces cooldown by 2 seconds.\nReduced stun duration from 0.6 to 0.5."", 'Talents:']"
7.22h,"['Level 20 left talent: +50 attack damage reduced to +40.', 'Level 25 right talent: +140  Hunter in the Night attack speed reduced to +110.', 'Reduced  Hunter in the Night attack speed from 30/50/70/90 to 20/40/60/80.', 'Reduced  Crippling Fear duration from 5/6/7/8 to 4/5/6/7.', 'Talents:']"
7.22g,[' Void no longer deals half damage during the day. [?]']
7.22f,['Increased movement speed from 290 to 295.']
7.22,"[""Added  Aghanim's Scepter upgrade for Night Stalker: Increases  Void night stun duration from 0.1 to 0.6, reduces cooldown by 2 seconds, and turns it into a non-targeted AoE spell, which instantly hits all enemies around Night Stalker in a 900 radius.""]"
7.21b,['Reduced  strength gain from 3.6 to 3.2.']
7.21,"['Level 15 left talent changed: +150 cast range -> 15% lifesteal.', 'Increased  strength gain from 3.1 to 3.6.', 'Increased  Hunter in the Night movement speed bonus from 20%/25%/30%/35% to 22%/28%/34%/40%.', "" Aghanim's Scepter no longer grants Night Stalker unobstructed vision during nights. [?]"", ' Dark Ascension now provides fully unobstructed vision to the caster, instead of only within a 900 radius.', 'Talents:']"
7.20e,['Reduced  Dark Ascension cooldown from 160/140/120 to 140/130/120.']
7.20d,['Increased movement speed from 285 to 290.']
7.20,"['Cast time: 0.2', 'Radius: 375', 'Day duration: 3', 'Night duration: 5/6/7/8', 'Mana cost: 50', 'Cooldown: 30/25/20/15', ""Notes: Aura-based, so Night Stalker has to stay close to keep enemies silenced. The aura's debuff lingers for 0.5 seconds."", 'Increased  agility gain from 2.25 to 2.3.', 'Reduced base health regeneration from 3.25 to 1.75.', 'Reduced base mana regeneration from 0.9 to 0.', 'Reworked  Crippling Fear']"
7.18,"['Reduced movement speed from 290 to 285.', ' Void now deals half damage (45/80/127.5/167.5) during the day.']"
7.17,"['Increased  Void cooldown from 8 on each level to 11/10/9/8.', 'Increased  Crippling Fear cooldown from 12 on each level to 24/20/16/12.']"
7.16,"['Level 20 right talent: +50 movement speed reduced to +45.', ' Void no longer applies its mini-stun during the day.', ' Darkness\nNo longer sets enemy vision to 675 range (800 for wards and buildings).\nNow reduces vision by 25% of all units and wards, but not buildings.', 'No longer sets enemy vision to 675 range (800 for wards and buildings).', 'Now reduces vision by 25% of all units and wards, but not buildings.', 'Talents:']"
7.13b,"['Reduced base armor from 3 to 2.', 'Reduced movement speed from 295 to 290.']"
7.07d,['Reduced  Hunter in the Night attack speed bonus from 45/60/75/90 to 30/50/70/90.']
7.07c,"['Reduced  Hunter in the Night flying vision range from 1200 to 1000.', 'Increased  Darkness vision limit for buildings and wards from 675 to 800. [?]']"
7.07,"['Level 10: +100 cast range or +7  strength', 'Level 15: +25 attack speed or +300 mana', 'Level 20: +50 attack damage or +30 movement speed', 'Level 25: -8s  Crippling Fear cooldown or +12 armor', 'Reduced day vision from 1200 to 800.', 'Increased base health regeneration from 1.75 to 3.25.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06f,['Reduced  Darkness duration from 50 to 40.']
7.06e,"['Reduced base  intelligence from 16 to 13.', 'Increased  Hunter in the Night cooldown from 26/22/18/14 to 30/26/22/18.']"
7.06d,"['Reduced  Void day slow duration from 2 to 1.25.', 'Increased  Hunter in the Night mana cost from 50 to 80.']"
7.06,"['Flight duration: 2', 'Flight vision: 1200', 'Cooldown: 26/22/18/14', 'Mana cost: 50', 'Notes: Also grants flying vision while active, but with reduced vision range.', 'Increased  strength gain from 2.8 to 3.1.', 'Reduced base health regeneration from 2 to 1.75.', 'Added an active component to  Hunter in the Night:']"
7.02,"['Level 25 left talent: -6s  Crippling Fear cooldown increased to -8s.', 'Talents:']"
