7.26c,"['Level 10 left talent: +30  Chaos Meteor contact damage increased to +50.', 'Talents:']"
7.26b,"['Level 10 left talent: +40  Chaos Meteor contact damage reduced to +30.', 'Level 10 right talent: -30s  Ghost Walk cooldown reduced to -24s.', 'Level 15 left talent: -10s  Cold Snap cooldown reduced to -8s.', 'Level 20 left talent: +50  Alacrity attack damage/speed reduced to +40.', 'Level 20 right talent: -10s  Tornado cooldown reduced to -8s.', 'Talents:']"
7.23,"['Level 15 left talent: -15s  Cold Snap cooldown reduced to -10s.', 'Level 20 right talent changed:  Cataclysm -> -10s  Tornado cooldown.', 'Level 25 left talent changed: -16s  Tornado cooldown -> +2  Melting Strike armor reduction.', 'Cooldown now gets lower by 0.3 for each level of  Quas,  Wex, and  Exort', 'Increased base cooldown from 6 to 7.', ' Invoke\nCooldown now gets lower by 0.3 for each level of  Quas,  Wex, and  Exort\nIncreased base cooldown from 6 to 7.', "" Aghanim's Scepter\nNo longer reduces  Invoke cooldown from 6 to 2.\nNow adds Cataclysm to  Sun Strike [?]"", 'No longer reduces  Invoke cooldown from 6 to 2.', 'Now adds Cataclysm to  Sun Strike [?]', 'Talents:']"
7.22f,"['Increased base  intelligence from 14 to 15.', 'Increased  Cold Snap damage from 7/14/21/28/35/42/49/56 to 8/16/24/32/40/48/56/64.']"
7.22d,"['Level 15 left talent: -12s  Cold Snap cooldown increased to -15s.', 'Level 20 left talent: +45  Alacrity attack damage/speed increased to +50.', 'Talents:']"
7.22c,['Increased base armor from -1 to 0.']
7.22,"['Level 10 left talent: +30  Chaos Meteor contact damage increased to +40.', 'Level 20 left talent: +35  Alacrity attack damage/speed increased to +45.', 'Increased base attack damage from 24-30 to 27-33.', 'Reduced  Exort attack damage bonus per instance from 3/7/11/15/19/23/27 to 2/6/10/14/18/22/26.', 'Talents:']"
7.21,"['Level 10 right talent changed: +1.25s  Tornado cylone duration -> -30s  Ghost Walk cooldown.', 'Increased  intelligence gain from 4 to 4.6.', 'Increased base attack damage from 21-27 to 24-30.', 'Reduced  Exort attack damage bonus per instance from 4/8/12/16/20/24/28 to 3/7/11/15/19/23/27.', 'Talents:']"
7.20,"['Increased  strength gain from 2.2 to 2.4.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.']"
7.18,"['Level 10 right talent: +0.5s  Tornado cyclone duration increased to +1.25s.', 'Level 15 left talent changed: +2.5s  Cold Snap debuff duration -> -12s  Cold Snap cooldown.', 'Talents:']"
7.17,"['Level 20 right talent: Reduced  Cataclysm max spawn distances from 160-220 to 160-200. [?]', 'Talents:']"
7.16,[' Invoke no longer has a 40 mana cost.']
7.15,"['Reduced base  intelligence from 16 to 14.', 'Increased base attack damage from 19-25 to 21-27.']"
7.14,['Reduced  Invoke mana cost from 60 to 40.']
7.13b,['Increased base  strength from 16 to 18.']
7.10,"['Level 10 right talent: +0.3s  Tornado cyclone duration increased to +0.5s.', 'Level 15 left talent: +1.5s  Cold Snap debuff duration increased to +2.5s.', 'Level 20 right talent: Reduced  Cataclysm min-max spawn distances from 175-250 to 160-220. [?]', 'Talents:']"
7.07,"['Level 10: +125 health or +15 attack damage', 'Level 15: +30% experience gain or +1  Forged Spirit summoned', 'Level 20: +35 attack speed or +7 all stats', 'Level 25: -18s  Tornado cooldown or  Deafening Blast sends blasts in all directions', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06d,['Increased  Alacrity cooldown from 15 to 17.']
7.06,"['Increased  strength gain from 1.9 to 2.2.', 'Reduced base health regeneration from 0.25 to 0.']"
7.05,['Reduced base  strength from 17 to 16.']
7.03,['Increased  Alacrity mana cost from 45 to 60.']
7.02,"['Level 15 left talent: +25% experience gain increased to +30%.', 'Level 25 left talent: -15s  Tornado cooldown increased  to -18s.', 'Talents:']"
7.01,"['Level 15 left talent: +20% experience gain increased to +25%.', 'Increased  strength gain from 1.7 to 1.9.', 'Increased  Quas health regeneration bonus per active instance from 1.5/3/4.5/6/7.5/9/10.5 to 1/3/5/7/9/11/13.', 'Talents:']"
7.00,"['Level 10: +125 health or +15 attack damage', 'Level 15: +20% experience gain or +1  Forge Spirit summoned', 'Level 20: +35 attack speed or +7 all stats', 'Level 25: -15s  Tornado cooldown or Radial  Deafening Blast [?]', 'No longer passively grants 2/4/6/8/10/12/14 strength.', 'Increased health regeneration bonus per active instance from 1/2/3/4/5/6/7 to 1.5/3/4.5/6/7.5/9/10.5.', ' Quas\nNo longer passively grants 2/4/6/8/10/12/14 strength.\nIncreased health regeneration bonus per active instance from 1/2/3/4/5/6/7 to 1.5/3/4.5/6/7.5/9/10.5.', ' Wex no longer passively grants 2/4/6/8/10/12/14 agility.', ' Exort\nNo longer passively grants 2/4/6/8/10/12/14 intelligence.\nIncreased attack damage bonus per active instance 3/6/9/12/15/18/21 to 4/8/12/16/20/24/28.', 'No longer passively grants 2/4/6/8/10/12/14 intelligence.', 'Increased attack damage bonus per active instance 3/6/9/12/15/18/21 to 4/8/12/16/20/24/28.', "" Invoke\nIs no longer an upgradeable ability. [?]\nCooldown from 22/17/12/5 ( 16/8/4/2) to 6 ( 2).\nMana cost from 20/40/60/80 ( 0) to 60 ( 0).\nNo longer expends mana if it only swaps the invoked abilities' slots."", 'Is no longer an upgradeable ability. [?]', 'Cooldown from 22/17/12/5 ( 16/8/4/2) to 6 ( 2).', 'Mana cost from 20/40/60/80 ( 0) to 60 ( 0).', ""No longer expends mana if it only swaps the invoked abilities' slots."", ' EMP\nChanged damage type from pure to magical.\nIncreased damage per burned mana from 50% to 60%.', 'Changed damage type from pure to magical.', 'Increased damage per burned mana from 50% to 60%.', ' Deafening Blast now always creates a single blast towards the targeted direction, regardless of reagents level. [?]', "" Forge Spirit now always spawns 1 spirit, regardless of the reagents' levels. [?]"", 'Invoker no longer has a +6  Attribute Bonus ability at level 25.', 'Added talents:']"
6.88,['Reduced  Forge Spirit attack damage from 29/38/47/56/65/74/83/92 to 22/32/42/52/62/72/82/92.']
6.87,"['Reduced base  intelligence from 22 to 16.', 'Increased base attack damage from 13-19 to 19-25.', 'Increased cast time of all invoked spells from 0 to 0.05 [?].', "" Cold Snap's initial debuff is now dispellable."", 'Increased  Ghost Walk cooldown from 35 to 45.', 'Reduced  Tornado vision radius from 600 to 200.', ' Forge Spirit\nHealth is now based on Quas, instead of Exort.\nMana is now based on Exort, instead of Quas.\nValues remain unchanged.', 'Health is now based on Quas, instead of Exort.', 'Mana is now based on Exort, instead of Quas.', 'Values remain unchanged.']"
6.86f,"['Hit enemies are no longer disabled during the knockback [?]', 'Now applies the disarm instantly upon hit, instead of right after the knockback.', 'Increased disarm duration from 1/1.5/2/2.5/3/3.5/4/4.5 to 1.25/2/2.75/3.5/4.25/5/5.75/6.5.', ' Deafening Blast\nHit enemies are no longer disabled during the knockback [?]\nNow applies the disarm instantly upon hit, instead of right after the knockback.\nIncreased disarm duration from 1/1.5/2/2.5/3/3.5/4/4.5 to 1.25/2/2.75/3.5/4.25/5/5.75/6.5.']"
6.86d,"['Reduced base  agility from 20 to 14.', 'Increased  Deafening Blast mana cost from 200 to 300.']"
6.86c,"['Reduced base  strength from 19 to 17.', 'Rescaled  Alacrity damage and attack speed bonus from 30/40/50/60/70/80/90/100 to 10/25/40/55/70/85/100/115.']"
6.86,"['Invoker now starts with  Invoke Level 1 at the beginning of the game.', ' Invoke now has the standard 6/11/16 leveling.', 'Level 25 invoker (since he is now missing an ability level) now has an attribute bonus ability that grants 6 all stats.', 'Changed  Forged Spirit attack damage type from Chaos to Hero.']"
6.85,"['Increased  intelligence gain from 3.2 to 4.', "" Aghanim's Scepter now also adds one level to the stats provided by Quas, Wex, and Exort on all Invoked spells."", 'Increased  Alacrity attack damage and attack speed bonus from 20/30/40/50/60/70/80/90 to 30/40/50/60/70/80/90/100', '[U] Increased  Tornado duration at level 7 from 2.5 to 2.6 (formula still is 0.5 + (0.3 * Quas), but no longer capped at 2.5.)', ' Deafening Blast is now ground-targeted at max level again, instead of instant cast. [?]']"
6.84,"['Increased  intelligence gain from 2.5 to 3.2.', "" Invoke no longer goes on cooldown if it only swaps the invoked abilities' slots."", 'Reduced  Sun Strike cooldown from 30 to 25.', ' Deafening Blast now turns into a non-targetable ability which releases blasts into every direction around Invoker when at max level (Quas, Wex and Exort at level 7).', 'The following abilities no longer ignore ancient creeps, Roshan and creep-heroes:  Tornado,  EMP,  Chaos Meteor,  Sun Strike,  Ice Wall and  Deafening Blast']"
6.82b,"[' Sun Strike damage now pierces spell immunity (spell immune units already counted towards the damage spread, but did not take the damage).']"
6.82,"['Changed damage formula from 70 + ((2 * Wex + Quas) * 15) to 70 + (3 * Wex * 15).', 'Damage range remains unchanged at 115-385.', 'Reduced flying vision radius from 1200 to 600.', ' Tornado\nChanged damage formula from 70 + ((2 * Wex + Quas) * 15) to 70 + (3 * Wex * 15).\nDamage range remains unchanged at 115-385.\nReduced flying vision radius from 1200 to 600.']"
6.81b,"['Changed  Cold Snap damage from a constant 30 (60 initially) to 7/14/21/28/35/42/49, based on Quas level.', ' Forge Spirit no longer have 33% magic resistance.', ' Deafening Blast disarm is now dispellable by spell immunity.']"
6.81,"[' Ghost Walk slow no longer affects spell immune enemies.', 'Increased  EMP effect delay from 2.6 to 2.9.', ' Tornado is now dispellable.']"
6.80,"['Changed  Ghost Walk movement speed change on self from -30%/-25%/-20%/-15%/-10%/-5%/0% to -30%/-20%/-10%/0%/10%/20%/30%.', ' EMP\nRescaled effect delay from 3.75/3.45/3.2/2.9/2.6/2.35/2.05 to 2.6 on each level.\nIncreased mana burn from 100/150/200/250/300/350/400 to 100/175/250/325/400/475/550.', 'Rescaled effect delay from 3.75/3.45/3.2/2.9/2.6/2.35/2.05 to 2.6 on each level.', 'Increased mana burn from 100/150/200/250/300/350/400 to 100/175/250/325/400/475/550.', 'Reduced  Alacrity mana cost from 75 to 45.', ' Forge Spirit\nReduced attack range from 300/400/500/600/700/800/900 to 300/365/430/495/560/625/690.\nReduced armor from 2/3/4/5/6/7/8 to 0/1/2/3/4/5/6.', 'Reduced attack range from 300/400/500/600/700/800/900 to 300/365/430/495/560/625/690.', 'Reduced armor from 2/3/4/5/6/7/8 to 0/1/2/3/4/5/6.']"
6.79,"['Increased  Invoke max spells from 1/2/2/2 to 2 on each level.', "" EMP now restores Invoker's mana for 50% of the mana it drained from heroes (excluding illusions).""]"
6.78,"['Increased enemy movement speed slow from 20%/23%/26%/30%/33/36%/40% to 20%/25%/30%/35%/40%/45%/50%.', 'Reduced cooldown from 60 to 35.', ' Ghost Walk\nIncreased enemy movement speed slow from 20%/23%/26%/30%/33/36%/40% to 20%/25%/30%/35%/40%/45%/50%.\nReduced cooldown from 60 to 35.', 'Increased  Tornado damage from 110-350 to 115-385.', 'Reduced  Alacrity mana cost from 100 to 75.']"
6.75,['Reduced base attack damage from 17-23 to 13-19 (total attack damage is now 35-41).']
6.74,"['No longer affects invulnerable units.', 'Increased cooldown from 25 to 30.', ' EMP\nNo longer affects invulnerable units.\nIncreased cooldown from 25 to 30.', ' Tornado\nReduced damage from 123.5-399.5 to 110-350.\nIncreased cooldown from 25 to 30.', 'Reduced damage from 123.5-399.5 to 110-350.', ' Sun Strike\nNow provides vision at the targeted area during the effect delay.\nChanged damage type from Magical to Pure.', 'Now provides vision at the targeted area during the effect delay.', 'Changed damage type from Magical to Pure.', ' Chaos Meteor\nReduced effect delay from 1.5 to 1.3.\nIncreased base damage from 110/140/170/200/230/260/290 to 115/150/185/220/255/290/325.\nIncreased burn damage from 11/14/17/20/23/26/29 to 11.5/15/18.5/22/25.5/29/32.5.', 'Reduced effect delay from 1.5 to 1.3.', 'Increased base damage from 110/140/170/200/230/260/290 to 115/150/185/220/255/290/325.', 'Increased burn damage from 11/14/17/20/23/26/29 to 11.5/15/18.5/22/25.5/29/32.5.']"
6.72c,[' EMP now has an area targeting cursor.']
6.72,"['Reduced base attack damage from 22-28 to 17-23 (total attack damage is now 39-45).', 'Casting  Quas,  Wex,  Exort and  Invoke no longer interrupt Invoker.', ' Invoke now considers the older invoked spell as the new one when re-invoking it, instead of doing nothing.', ' Cold Snap no longer triggers on less than 10 damage.', ' Ice Wall no longer affects spell immune enemies.', ' Alacrity\nCan now be cast on siege creeps.\nReduced attack damage bonus from 30/40/50/60/70/80/90 to 20/30/40/50/60/70/80.\nReduced attack speed bonus from 30/40/50/60/70/80/90 to 20/30/40/50/60/70/80.\nIncreased mana cost from 50 to 100.', 'Can now be cast on siege creeps.', 'Reduced attack damage bonus from 30/40/50/60/70/80/90 to 20/30/40/50/60/70/80.', 'Reduced attack speed bonus from 30/40/50/60/70/80/90 to 20/30/40/50/60/70/80.', 'Increased mana cost from 50 to 100.']"
6.71,[' Cold Snap no longer triggers on self-inflicted damage.']
6.70,['Invoker now gets experience for kills made with  Sun Strike.']
6.69,"[' Quas now passively grants 2  strength per level.', ' Wex now passively grants 2  agility per level.', ' Exort now passively grants 2  intelligence per level.']"
6.68,['Increased  strength gain from 1.4 to 1.7.']
