7.26c,"['Level 10 left talent: +4 all stats increased to +5.', 'Talents:']"
7.26b,"['Level 10 right talent: +6 health regen reduced to +5.', 'Level 10 left talent: +5 all stats reduced to +4.', 'Level 15 right talent: +15  Desolate damage reduced to +12.', 'Level 15 left talent: -10s  Spectral Dagger cooldown reduced to -8s.', 'Level 20 right talent:+500 health from to +400.', 'Level 20 left talent: +18%  Spectral Dagger movement speed slow/bonus reduced to +14%.', 'Level 25 right talent: +40%  Haunt damage reduced to +32%.', 'Level 25 left talent: +6%  Dispersion damage reflected reduced to 5%.', 'Talents:']"
7.25,"['Increased base health regeneration from 1.5 to 2.5.', 'Reduced  Shadow Step cooldown from 70 to 35.']"
7.24,['Increased base health regeneration from 0 to 1.5.']
7.22,"[""Added  Aghanim's Scepter upgrade for Spectre: Grants Spectre the  Shadow Step ability:""]"
7.21b,"['Level 10 left talent: +4 all stats increased to +5.', 'Increased base  strength from 21 to 23.', 'Talents:']"
7.21,"['Level 20 left talent: +20%  Spectral Dagger movement speed slow/bonus reduced to +18%.', 'Increased  strength gain from 2.3 to 2.5.', 'Increased  agility gain from 1.8 to 2.1.', 'Increased  Spectral Dagger movement speed bonus for Spectre and slow on enemies from 8%/12%/16%/20% to 10%/14%/18%/22%.', 'Talents:']"
7.20e,['Increased  Haunt illusion damage dealt from 40%/55%/70% to 40%/60%/80%.']
7.20d,['Increased movement speed from 285 to 290.']
7.20c,['Increased  Haunt illusion damage dealt from 40%/50%/60% to 40%/55%/70%.']
7.20,"['Level 10 right talent: +5 health regen increased to +6.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Talents:']"
7.19c,"['Level 10 left talent changed: +15  Desolate damage -> +4 all stats.', 'Level 15 right talent changed: +8 all stats -> +15  Desolate damage.', 'Level 25 left talent: +8%  Dispersion damage reflected reduced to +6%.', 'Increased  Desolate search radius from 375 to 500.', 'Reduced  Dispersion damage reflection from 10%/14%/18%/22% to 7%/12%/17%/22%.', 'Increased  Haunt mana cost from 150 on each level to 150/200/250.', 'Talents:']"
7.19b,"['Reduced  Spectral Dagger caster buff linger duration from 2 to 1.', 'Increased  Desolate search radius from 325 to 375.', 'Reduced  Dispersion max radius from 1000 to 700.']"
7.17,"['Level 15 left talent: -8s  Spectral Dagger cooldown increased to -10s.', 'Talents:']"
7.15,['Increased base  strength from 20 to 21.']
7.14,"['Reduced  Spectral Dagger mana cost from 130/140/150/160 to 100/120/140/160.', 'Increased  Haunt illusion damage dealt from 40% on each level to 40%/50%/60%.']"
7.12,['Increased  Spectral Dagger damage from 50/100/150/200 to 90/140/190/240.']
