7.26c,"['Level 10 right talent: +25 movement speed reduced to +20.', 'Talents:']"
7.26b,"['Level 10 left talent: +100  Ink Swell max damage reduced to +80.', 'Level 10 right talent: +30 movement speed reduced to +25.', 'Level 15 left talent: +175 cast range reduced to +150.', 'Level 15 right talent: +20% spell amplification reduced to +15%.', 'Level 20 right talent: +800  Stroke of Fate cast range/distance reduced to +650.', 'Level 25 left talent: +50%  Stroke of Fate damage reduced to +40%.', 'Level 25 right talent: +200  Ink Swell radius reduced to +150.', 'Talents:']"
7.25,"['Level 15 right talent: +15% spell damage amplification increased to +20%.', 'Level 20 right talent: +600  Stroke of Fate cast range/distance increased to +800.', ""Increased  Phantom's Embrace rend damage from 80/170/260/350 to 120/200/280/360."", 'Talents:']"
7.24,"['Level 10 left talent changed: +90 gold per minute -> +100  Ink Swell max damage.', 'Level 15 left talent: +125 cast range increased to +175.', 'Level 15 right talent: +12% spell damage amplification increased to +15%.', 'Increased base  intelligence from 23 to 25.', 'Talents:']"
7.23,"[""Increased  Phantom's Embrace rend damage from 75/150/225/300 to 80/170/260/350."", 'Increased  Ink Swell cast range from 400/500/600/700 to 400/525/650/775.']"
7.22f,['Reduced base attack damage from 25-29 to 21-25.']
7.22e,"['Reduced base attack damage from 27-31 to 25-29.', ' Soulbind no longer slows movement speed by 10%.']"
7.22d,['Reduced  Soulbind movement speed slow from 10%/20%/30% to 10% on each level.']
7.22b,"['Increased illusion damage taken from 200% to 350%.', 'Reduced duration from 20 to 15.', ' Dark Portrait\nIncreased illusion damage taken from 200% to 350%.\nReduced duration from 20 to 15.']"
7.22,"[' Ink Swell can now be cast on spell immune allies.', ""Added  Aghanim's Scepter upgrade for Grimstroke: Grants the  Dark Portrait ability.""]"
7.21b,"['Reduced  Ink Swell stun duration from 1.4/2.2/3.0/3.8 to 1.0/1.9/2.8/3.7.', 'Reduced  Soulbind slow from 15%/30%/45% to 10%/20%/30%.']"
7.21,"['Increased  intelligence gain from 3.3 to 3.8.', 'Reduced movement speed from 295 to 290.', ""Reduced  Phantom's Embrace rend damage from 120/200/280/360 to 75/150/225/300."", ' Ink Swell\nReduced movement speed from 18% on each level to 12%/14%/16%/18%.\nIncreased mana cost from 90/100/110/120 to 120/130/140/150.', 'Reduced movement speed from 18% on each level to 12%/14%/16%/18%.', 'Increased mana cost from 90/100/110/120 to 120/130/140/150.']"
7.20e,"['Reduced  Ink Swell max stun duration from 1.7/2.4/3.1/3.8 to 1.4/2.2/3/3.8', 'Increased  Soulbind cooldown from 90/70/50 to 100/75/50.']"
7.20d,"['Reduced expire max damage from 160/240/320/400 to 100/200/300/400.', 'Reduced expire max stun duration from 2/2.6/3.2/3.8 to 1.7/2.4/3.1/3.8.', ' Ink Swell\nReduced expire max damage from 160/240/320/400 to 100/200/300/400.\nReduced expire max stun duration from 2/2.6/3.2/3.8 to 1.7/2.4/3.1/3.8.', 'Increased  Soulbind cooldown from 80/65/50 to 90/70/50.']"
7.20,"[""Enabled in Captain's Mode"", 'Increased  strength gain from 2.2 to 2.4.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Soulbind\nNow applies the leashed status on bound enemies, preventing them from casting teleportation and mobility abilities.\nReduced duration from 6/8/10 to 6/7/8.', 'Now applies the leashed status on bound enemies, preventing them from casting teleportation and mobility abilities.', 'Reduced duration from 6/8/10 to 6/7/8.', ""Reduced the distance required for  Phantom's Embrace's unit to latch onto its target. [?]\n Ink Swell\nExpire area stun and damage are now based on the amount of tendril damage instances applied to a single hero, instead of all heroes collectively. [?]\nReduced expire max stun duration from 2/2.8/3.4/4 to 2/2.6/3.2/3.8."", ' Ink Swell', 'Expire area stun and damage are now based on the amount of tendril damage instances applied to a single hero, instead of all heroes collectively. [?]', 'Reduced expire max stun duration from 2/2.8/3.4/4 to 2/2.6/3.2/3.8.']"
7.19d,"['Increased latch duration from 4/4/5/5 to 5 on each level.', 'Reduced damage per second from 12/18/24/30 to 6/14/22/30.', "" Phantom's Embrace\nIncreased latch duration from 4/4/5/5 to 5 on each level.\nReduced damage per second from 12/18/24/30 to 6/14/22/30."", ' Ink Swell\nReduced expire max damage from 220/280/340/400 to 160/240/320/400.\nReduced movement speed bonus from 18%/22%/26%/30% to 18% on each level.', 'Reduced expire max damage from 220/280/340/400 to 160/240/320/400.', 'Reduced movement speed bonus from 18%/22%/26%/30% to 18% on each level.']"
7.19c,"['No longer grants the target attack immunity.', 'No longer silences and disarms the target.', ' Ink Swell\nNo longer grants the target attack immunity.\nNo longer silences and disarms the target.', 'Increased  Soulbind duration from 4/6/8 to 6/8/10.']"
