7.26c,"['Level 25 right talent: -60s  Primal Split cooldown increased to -65s.', 'Talents:']"
7.26b,"['Level 10 left talent: +200 health reduced to +150.', 'Level 10 right talent: +15 attack damage reduced to +12.', 'Level 15 left talent: +20% magic resistance reduced to +15%.', 'Level 15 right talent: +3s  Thunder Clap slow duration reduced to +2.5s.', 'Level 20 left talent: +100 attack speed reduced to +80.', 'Level 20 right talent: +1750  Primal Split brewlings health reduced to +1400.', 'Level 25 left talent: +175%  Drunken Brawler critical damage reduced to +140%.', 'Level 25 right talent: -75s  Primal Split cooldown reduced to -60s.', 'Talents:']"
7.26a,['Increased  Permanent Immolation damage per second from 20/40/60 to 25/50/75.']
7.25,"['Level 20 right talent: +1500  Primal Split brewlings health increased to +1750.', 'Level 25 right talent: -65s  Primal Split cooldown increased to -75s.', 'Increased attack damage from 75-85/115-125/155-165 to 75-85/125-135/175-185.', 'Reduced  Permanent Immolation damage interval from 1 to 0.5.', ' Fire\nIncreased attack damage from 75-85/115-125/155-165 to 75-85/125-135/175-185.\nReduced  Permanent Immolation damage interval from 1 to 0.5.', 'Talents:']"
7.24,['Increased base armor from -2 to -1.']
7.23,"['Now ignites on any spell damage, rather than only damage above 80.', 'Igniting the debuff now adds 3 seconds to the duration, instead of fully refreshing it.', ""The ignite damage interval is now based on the debuff's duration, instead of being fixed at 0.5."", 'No longer grants enemies a 20%/25%/30%/35% chance to attack themselves.', 'Increased total damage from 100/150/200/250 to 100/160/220/280.', 'Rescaled movement speed slow from 25% on each level to 24%/28%/32%/36%.', 'Reduced cooldown from 20/18/16/14 to 20/17/14/11.', 'Increased mana cost from 50 to 80.', "" Cinder Brew\nNow ignites on any spell damage, rather than only damage above 80.\nIgniting the debuff now adds 3 seconds to the duration, instead of fully refreshing it.\nThe ignite damage interval is now based on the debuff's duration, instead of being fixed at 0.5.\nNo longer grants enemies a 20%/25%/30%/35% chance to attack themselves.\nIncreased total damage from 100/150/200/250 to 100/160/220/280.\nRescaled movement speed slow from 25% on each level to 24%/28%/32%/36%.\nReduced cooldown from 20/18/16/14 to 20/17/14/11.\nIncreased mana cost from 50 to 80.""]"
7.22g,['Increased  Wind Walk damage from 100/160/220 to 140/200/260.']
7.22f,['Increased base  intelligence from 14 to 15.']
7.22e,"["" Cinder Brew's self-attack now uses pseudo-random distribution.""]"
7.22,"['Reduced  Thunder Clap damage from 100/175/250/300 to 90/160/230/300.', "" Aghanim's Scepter\nNow also increases the  Primal Split brewlings' movement speed by 100.\n[U] Now also removes the movement speed limit for Primal split brewlings."", ""Now also increases the  Primal Split brewlings' movement speed by 100."", '[U] Now also removes the movement speed limit for Primal split brewlings.']"
7.21,"['Level 10 right talent: +20 attack damage reduced to +15.', 'Increased  strength gain from 3.2 to 3.7.', 'Reduced  Drunken Brawler critical strike damage from 170%/200%/230%/260% to 140%/180%/220%/260%.', ' Cinder Brew\nNow uses one debuff for the brew and the ignition, instead of the ignition being a separate modifier.\nWhen ignited, the brew debuff refreshes and starts dealing damage over time, while still slowing and granting a chance to attack self.\nThe debuff can no longer be ignited multiple times.\nReduced brew debuff duration from 7 to 5. Increased ignition duration from 3 to 5. [?]\nIncreased ignite damage per second from 20/25/30/35 to 20/30/40/50.', 'Now uses one debuff for the brew and the ignition, instead of the ignition being a separate modifier.', 'When ignited, the brew debuff refreshes and starts dealing damage over time, while still slowing and granting a chance to attack self.', 'The debuff can no longer be ignited multiple times.', 'Reduced brew debuff duration from 7 to 5. Increased ignition duration from 3 to 5. [?]', 'Increased ignite damage per second from 20/25/30/35 to 20/30/40/50.', 'Talents:']"
7.20e,"['Reduced critical damage from 200%/220%/240%/260% to 170%/200%/230%/260%.', 'Increased cooldown from 20/19/18/17 to 23/21/19/17.', ' Drunken Brawler\nReduced critical damage from 200%/220%/240%/260% to 170%/200%/230%/260%.\nIncreased cooldown from 20/19/18/17 to 23/21/19/17.']"
7.20d,"['Level 10 right talent: +30 attack damage reduced to +20.', 'Increased  Primal Split cooldown from 140/120/100 to 140/130/120.', 'Talents:']"
