match_id,start_time,duration,leagueid,game_mode,radiant_score,dire_score,radiant_team_complete,dire_team_complete
5400546055,1588784152,1948,11836,2,32,19,0,0
5400512754,1588782682,1908,11829,2,20,21,0,0
5400483542,1588781831,1590,11831,2,8,33,0,1
5400448878,1588780795,1820,11836,2,27,23,0,0
5400372357,1588778068,2157,11829,2,27,47,1,0
5400343456,1588777381,1484,11831,2,38,8,1,1
5400247126,1588774383,2580,11829,2,50,27,0,1
5400231523,1588773984,1770,11831,2,27,6,1,1
5400150201,1588771501,981,11382,2,23,31,0,0
5400140807,1588771217,2351,11966,2,8,43,1,0
5400138626,1588771149,2704,10158,2,47,17,,0
5400087638,1588769607,1180,11382,2,44,13,0,0
5400070079,1588769130,2746,11099,2,17,46,1,1
5400067902,1588769091,1540,11831,2,10,35,0,1
5400065869,1588768877,3074,11829,2,48,42,0,0
5400050652,1588768376,1904,11966,2,5,20,0,1
5400015293,1588767178,1410,11953,2,26,10,1,0
5399998659,1588766638,1123,11829,2,9,23,0,0
5399985854,1588766145,1762,11382,2,49,49,0,0
5399984901,1588766113,2030,11099,2,9,22,1,1
5399976098,1588765826,1782,11831,2,24,8,0,1
5399964055,1588765343,3305,11898,2,35,30,,1
5399953514,1588764997,2236,11966,2,11,26,1,0
5399940716,1588764617,1922,11792,2,13,37,0,1
5399929213,1588764175,1823,11953,2,11,17,1,0
5399920069,1588763631,1526,11382,2,34,18,0,0
5399911179,1588763239,2396,11828,2,27,37,1,0
5399901962,1588763201,1248,11831,2,31,4,1,0
5399897914,1588762679,2132,11829,2,43,19,1,0
5399873947,1588761650,2505,11898,2,31,26,1,0
5399870291,1588762718,2313,11099,2,28,19,1,1
5399866590,1588761332,1922,11792,2,24,29,1,0
5399847819,1588760484,1908,11382,2,50,38,0,0
5399846945,1588760439,2154,11953,2,39,15,0,
5399845089,1588760459,1302,11828,2,27,4,1,0
5399830406,1588759705,1738,11829,2,9,29,0,1
5399830191,1588759664,1566,11966,2,16,18,0,1
5399814508,1588758909,2487,12025,2,29,22,0,0
5399790982,1588757793,3083,11975,2,23,33,1,1
5399785021,1588757510,1882,11382,2,36,42,0,0
5399780740,1588757713,1680,11953,2,33,16,0,0
5399779492,1588757241,2049,11099,2,8,28,0,0
5399765639,1588756610,1485,11966,2,19,9,1,0
5399763818,1588756476,2192,11828,2,15,39,1,1
5399750540,1588755859,3450,11792,2,42,49,0,1
5399730111,1588754829,1375,11099,2,9,23,0,0
5399725734,1588754918,1390,11382,2,26,30,0,0
5399693185,1588752996,2012,11953,2,13,43,0,0
5399674369,1588752186,3993,11975,2,26,41,1,1
5399664724,1588751526,1405,11263,2,23,14,0,1
5399664271,1588752038,2938,11828,2,20,38,1,1
5399630123,1588749692,1480,11792,2,14,32,0,1
5399612317,1588748697,1833,11263,2,18,25,1,0
5399607852,1588749032,2311,11953,2,32,26,0,0
5399598516,1588747899,1636,11975,2,8,32,1,1
5399555420,1588745295,1910,11263,2,22,21,1,0
5399555128,1588745871,2348,11792,2,32,21,1,0
5399554037,1588745211,1681,11953,2,36,12,1,0
5399539162,1588744893,1797,11975,2,15,30,1,1
5399507922,1588742288,1761,11263,2,28,29,1,0
5399500931,1588741839,1488,11966,2,29,8,0,0
5399489481,1588741084,1378,11792,2,39,32,0,0
5399488044,1588741342,2550,11953,2,34,21,1,0
5399460244,1588739115,1859,11263,2,9,30,0,1
5399446468,1588738172,887,11792,2,30,12,0,0
5399442400,1588737891,2952,11966,2,51,46,0,0
5399410320,1588735606,1738,11263,2,22,32,0,1
5399408021,1588735441,787,11792,2,24,2,0,0
5399397639,1588734746,2204,11966,2,22,32,0,0
5399374848,1588733092,1296,11263,2,23,19,1,0
5399053487,1588710536,2532,11829,2,45,32,1,0
5398964194,1588706617,2352,11829,2,57,35,1,0
5398940793,1588705810,2563,11831,2,26,36,0,0
5398885280,1588703440,1792,11829,2,35,12,1,0
5398865840,1588703023,1190,11831,2,22,8,0,0
5398789720,1588699972,1345,11829,2,36,13,0,1
5398766390,1588699005,1872,11831,2,18,45,1,1
5398690471,1588696513,1839,11836,2,10,35,0,0
5398684808,1588695990,2530,11829,2,37,31,0,1
5398664384,1588695500,1816,11831,2,40,23,1,1
5398573084,1588692557,1911,11829,2,22,29,0,1
5398554891,1588692049,2645,11836,2,22,24,0,0
5398553417,1588691881,1455,11831,2,32,8,0,1
5398446135,1588688593,1976,11829,2,27,24,1,0
5398400229,1588687419,2700,11831,2,44,22,0,1
5398395579,1588687465,1662,11836,2,14,30,0,0
5398368996,1588686256,1029,11382,2,20,32,0,0
5398344055,1588685574,1322,11966,2,10,25,0,1
5398330024,1588685135,2439,11953,2,27,16,0,0
5398329043,1588685106,1831,11829,2,12,51,0,1
5398326844,1588685045,2055,11898,2,16,28,1,1
5398305588,1588684487,1110,11382,2,30,14,0,0
5398268465,1588683724,2009,11836,2,23,21,0,0
5398261532,1588683105,2108,11975,2,18,44,0,1
5398237918,1588682376,2019,11966,2,37,20,1,0
5398214640,1588681651,1349,11382,2,33,26,0,0
5398210311,1588681688,2917,11831,2,29,29,1,1
5398203406,1588681411,1908,11829,2,18,37,1,0
5398181452,1588680569,2544,11898,2,42,28,1,1
5398155166,1588680297,3573,11953,2,32,47,0,0
5398141910,1588679223,1527,11382,2,33,39,0,0
5398127381,1588679121,2604,11975,2,16,30,0,1
5398117963,1588678686,2467,11966,2,44,24,0,1
5398080938,1588676958,3643,11828,2,62,62,1,1
5398079892,1588676917,3362,11831,2,41,20,1,1
5398075846,1588676864,1555,11382,2,30,31,0,0
5398074041,1588676686,2430,11898,2,33,13,1,1
5398066242,1588676385,2756,11829,2,52,37,0,0
5398005386,1588673909,2712,11975,2,38,32,1,0
5398003407,1588673936,2826,11099,2,24,26,0,1
5398000488,1588673707,2104,11382,2,58,51,0,0
5397992781,1588673738,1855,11828,2,23,39,1,1
5397987593,1588673200,1883,11829,2,30,19,0,0
5397940739,1588671356,1449,11975,2,14,28,0,1
5397932569,1588670863,1567,11382,2,35,48,0,0
5397903702,1588669658,2168,11828,2,20,34,1,0
5397903088,1588669629,3097,11099,2,50,53,0,1
5397861456,1588668084,1905,11382,2,45,43,0,0
5397852709,1588667488,1872,11953,2,21,11,1,0
5397835706,1588666775,2687,11975,2,26,47,1,1
5397811592,1588665762,2382,11099,2,39,32,0,1
5397808089,1588665611,2752,11828,2,36,17,1,0
5397802480,1588665367,1621,11263,2,29,21,1,1
5397756222,1588663777,2444,11953,2,26,22,1,0
5397737466,1588662448,2642,11975,2,31,17,1,1
5397729635,1588662093,1037,11792,2,26,10,1,1
5397727253,1588661981,2027,11263,2,29,41,1,1
5397708420,1588661082,2366,11966,2,18,25,0,0
5397659800,1588658666,1779,11263,2,23,40,1,1
5397657417,1588658732,1919,11792,2,29,41,1,1
5397656459,1588658497,2564,11953,2,45,24,0,0
5397656213,1588658758,2030,11975,2,24,14,1,1
5397654155,1588658538,1438,11966,2,26,11,0,0
5397611494,1588656108,1454,11263,2,30,19,1,1
5397600199,1588655682,1235,11953,2,22,4,0,0
5397557740,1588653061,2093,11263,2,30,26,1,1
5397552945,1588652774,3135,11792,2,40,46,1,0
5397525596,1588651116,2086,11966,2,37,19,1,0
5397500360,1588649530,1657,11263,2,27,19,0,1
